epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3335.5,0.54515,0.31312,0.82067,0.99732,0.99583,0.99466,0.94808,0.36609,0.24618,0.81463,0.00406,0.00406,0.00406
62,3390.38,0.54068,0.31288,0.82018,0.99727,0.99588,0.99466,0.94842,0.36539,0.24585,0.81453,0.003961,0.003961,0.003961
63,3444.68,0.53785,0.31089,0.8198,0.99728,0.9959,0.99467,0.94877,0.36481,0.24555,0.81448,0.003862,0.003862,0.003862
64,3499.39,0.53471,0.31014,0.81922,0.99729,0.9959,0.99466,0.94911,0.36425,0.24528,0.81435,0.003763,0.003763,0.003763
65,3553.88,0.53402,0.30893,0.81988,0.99733,0.99588,0.99466,0.94938,0.36371,0.24495,0.81426,0.003664,0.003664,0.003664
66,3608.25,0.52863,0.30615,0.81913,0.99731,0.99589,0.99466,0.94969,0.3631,0.24448,0.81418,0.003565,0.003565,0.003565
67,3662.5,0.52847,0.30799,0.81921,0.99733,0.99588,0.99466,0.94997,0.36235,0.24405,0.81406,0.003466,0.003466,0.003466
68,3717.11,0.52833,0.30605,0.81864,0.99731,0.99595,0.99466,0.95015,0.36181,0.24376,0.81401,0.003367,0.003367,0.003367
69,3771.44,0.52079,0.30401,0.81769,0.99726,0.996,0.99466,0.95032,0.36122,0.24338,0.81389,0.003268,0.003268,0.003268
70,3826.21,0.52241,0.30437,0.81808,0.99732,0.99595,0.99467,0.95055,0.36066,0.24304,0.81382,0.003169,0.003169,0.003169
71,3880.71,0.51872,0.30217,0.8177,0.99736,0.99592,0.99467,0.95091,0.35983,0.24263,0.81372,0.00307,0.00307,0.00307
72,3934.84,0.51561,0.30155,0.81716,0.99737,0.99593,0.99467,0.95113,0.35914,0.2423,0.81362,0.002971,0.002971,0.002971
73,3989.24,0.51325,0.29944,0.81752,0.99731,0.996,0.99467,0.95152,0.35834,0.24186,0.81352,0.002872,0.002872,0.002872
74,4043.36,0.51158,0.29956,0.81735,0.99733,0.99597,0.99467,0.95168,0.35769,0.24156,0.81339,0.002773,0.002773,0.002773
75,4097.65,0.50413,0.29653,0.8162,0.99734,0.99599,0.99467,0.95181,0.35702,0.24121,0.81329,0.002674,0.002674,0.002674
76,4152.1,0.50178,0.29564,0.81591,0.99734,0.99601,0.99468,0.95191,0.35656,0.24092,0.8132,0.002575,0.002575,0.002575
77,4206.76,0.50277,0.29514,0.81622,0.99735,0.99602,0.99467,0.95206,0.35594,0.24056,0.81306,0.002476,0.002476,0.002476
78,4260.95,0.49959,0.29503,0.81628,0.99735,0.99605,0.99468,0.95228,0.3553,0.24022,0.81294,0.002377,0.002377,0.002377
79,4315.13,0.49699,0.29345,0.81548,0.99736,0.99606,0.99468,0.95244,0.35461,0.23986,0.81284,0.002278,0.002278,0.002278
80,4369.8,0.49352,0.29162,0.81561,0.99738,0.99605,0.99468,0.95262,0.35394,0.23958,0.81273,0.002179,0.002179,0.002179
81,4424.27,0.49198,0.29147,0.81461,0.99739,0.99606,0.99468,0.95289,0.35318,0.23932,0.81253,0.00208,0.00208,0.00208
82,4478.49,0.48949,0.2903,0.81457,0.99736,0.9961,0.99468,0.95303,0.35255,0.23911,0.81241,0.001981,0.001981,0.001981
83,4532.96,0.48701,0.28877,0.81382,0.99734,0.99611,0.99468,0.95338,0.35202,0.23894,0.81227,0.001882,0.001882,0.001882
84,4587.37,0.48551,0.28861,0.81434,0.99739,0.99606,0.99468,0.95369,0.35148,0.23881,0.81219,0.001783,0.001783,0.001783
85,4641.69,0.48301,0.2869,0.81455,0.99731,0.99612,0.99468,0.95403,0.35061,0.23835,0.81207,0.001684,0.001684,0.001684
86,4696.2,0.47866,0.28485,0.81334,0.99733,0.99609,0.99468,0.95432,0.34983,0.23815,0.81197,0.001585,0.001585,0.001585
87,4750.64,0.4745,0.28373,0.81216,0.99735,0.9961,0.99468,0.95442,0.34946,0.23812,0.81185,0.001486,0.001486,0.001486
88,4805.41,0.47599,0.28474,0.81369,0.99728,0.99618,0.99468,0.95459,0.34888,0.23779,0.81174,0.001387,0.001387,0.001387
89,4859.95,0.47187,0.28248,0.81291,0.99728,0.99617,0.99468,0.95482,0.34812,0.23742,0.81161,0.001288,0.001288,0.001288
90,4914.2,0.47127,0.28221,0.81261,0.99736,0.99611,0.99469,0.95506,0.3476,0.23731,0.8115,0.001189,0.001189,0.001189
91,4961.95,0.38882,0.24827,0.79882,0.99735,0.99612,0.99469,0.95496,0.34735,0.23715,0.81142,0.00109,0.00109,0.00109
92,5008.54,0.37564,0.24102,0.79742,0.99741,0.99607,0.99469,0.95539,0.3465,0.23659,0.8113,0.000991,0.000991,0.000991
93,5055.14,0.36941,0.23784,0.79635,0.99742,0.99612,0.99469,0.95577,0.34551,0.23607,0.81118,0.000892,0.000892,0.000892
94,5101.75,0.36182,0.2348,0.79593,0.99747,0.99609,0.99469,0.95611,0.3447,0.23577,0.81107,0.000793,0.000793,0.000793
95,5148.49,0.35895,0.23301,0.79572,0.99743,0.99615,0.99469,0.95627,0.34396,0.23541,0.81094,0.000694,0.000694,0.000694
96,5195,0.35457,0.23152,0.79506,0.99742,0.99615,0.9947,0.95648,0.34299,0.2349,0.81082,0.000595,0.000595,0.000595
97,5241.46,0.35185,0.23033,0.79491,0.99746,0.99615,0.9947,0.95662,0.34236,0.23473,0.81067,0.000496,0.000496,0.000496
98,5287.97,0.34892,0.22913,0.7944,0.99744,0.99615,0.9947,0.95709,0.34148,0.23447,0.81053,0.000397,0.000397,0.000397
99,5334.47,0.34464,0.22723,0.79466,0.99738,0.99623,0.9947,0.95725,0.3406,0.23417,0.81043,0.000298,0.000298,0.000298
100,5381.07,0.34098,0.22572,0.7936,0.99738,0.99623,0.9947,0.95738,0.33969,0.23372,0.81032,0.000199,0.000199,0.000199
